reserve,round,date,lizard_num,count,lifestage
Fort Ord,4,5/7/21,13,0,nymphal
Fort Ord,4,5/7/21,14,0,larval
Fort Ord,4,5/7/21,14,0,nymphal
Fort Ord,4,5/7/21,15,14,larval
Fort Ord,4,5/7/21,15,4,nymphal
Hastings,4,5/9/21,1,2,larval
Hastings,4,5/9/21,1,0,nymphal
Hastings,4,5/9/21,2,7,larval
Hastings,4,5/9/21,2,8,nymphal
Hastings,4,5/9/21,3,0,larval
Hastings,4,5/9/21,3,0,nymphal
Hastings,4,5/9/21,4,0,larval
Hastings,4,5/9/21,4,0,nymphal
Hastings,4,5/9/21,5,0,larval
Hastings,4,5/9/21,5,2,nymphal
Hastings,4,5/9/21,6,0,larval
Hastings,4,5/9/21,6,0,nymphal
Hastings,4,5/9/21,7,14,larval
Hastings,4,5/9/21,7,12,nymphal
Hastings,4,5/9/21,8,1,larval
Hastings,4,5/9/21,8,0,nymphal
Hastings,4,5/9/21,9,1,larval
Hastings,4,5/9/21,9,2,nymphal
Hastings,4,5/9/21,10,0,larval
Hastings,4,5/9/21,10,2,nymphal
Hastings,4,5/9/21,11,0,larval
Hastings,4,5/9/21,11,0,nymphal
Hastings,4,5/9/21,12,9,larval
Hastings,4,5/9/21,12,3,nymphal
Hastings,4,5/9/21,13,16,larval
Hastings,4,5/9/21,13,2,nymphal
Hastings,4,5/9/21,14,15,larval
Hastings,4,5/9/21,14,1,nymphal
Hastings,4,5/9/21,15,1,larval
Hastings,4,5/9/21,15,2,nymphal
Big Creek,4,5/10/21,1,0,larval
Big Creek,4,5/10/21,1,0,nymphal
Big Creek,4,5/10/21,2,0,larval
Big Creek,4,5/10/21,2,0,nymphal
Big Creek,4,5/10/21,3,0,larval
Big Creek,4,5/10/21,3,1,nymphal
Big Creek,4,5/10/21,4,0,larval
Big Creek,4,5/10/21,4,1,nymphal
Big Creek,4,5/10/21,5,2,larval
Big Creek,4,5/10/21,5,1,nymphal
Big Creek,4,5/10/21,6,2,larval
Big Creek,4,5/10/21,6,1,nymphal
Big Creek,4,5/10/21,7,0,larval
Big Creek,4,5/10/21,7,4,nymphal
Big Creek,4,5/10/21,8,3,larval
Big Creek,4,5/10/21,8,2,nymphal
Big Creek,4,5/10/21,9,0,larval
Big Creek,4,5/10/21,9,1,nymphal
Big Creek,4,5/10/21,10,2,larval
Big Creek,4,5/10/21,10,7,nymphal
Big Creek,4,5/10/21,11,0,larval
Big Creek,4,5/10/21,11,1,nymphal
Big Creek,4,5/10/21,12,2,larval
Big Creek,4,5/10/21,12,5,nymphal
Big Creek,4,5/10/21,13,1,larval
Big Creek,4,5/10/21,13,0,nymphal
Big Creek,4,5/10/21,14,2,larval
Big Creek,4,5/10/21,14,0,nymphal
Big Creek,4,5/10/21,15,0,larval
Big Creek,4,5/10/21,15,0,nymphal
Big Creek,4,5/10/21,1,4,larval
Big Creek,4,5/10/21,1,13,nymphal
Big Creek,4,5/10/21,2,1,larval
Big Creek,4,5/10/21,2,5,nymphal
Big Creek,4,5/10/21,3,1,larval
Big Creek,4,5/10/21,3,9,nymphal
Big Creek,4,5/10/21,4,4,larval
Big Creek,4,5/10/21,4,5,nymphal
Big Creek,4,5/10/21,5,37,larval
Big Creek,4,5/10/21,5,12,nymphal
Big Creek,4,5/10/21,6,10,larval
Big Creek,4,5/10/21,6,11,nymphal
Big Creek,4,5/10/21,7,12,larval
Big Creek,4,5/10/21,7,2,nymphal
